wgs84_x,wgs84_y,country
14.46,53.42,PL
14.44,53.42,PL
14.49,53.38,PL
14.52,53.39,PL
14.46,53.42,PL
13.89,52.1,DE
13.94,52.39,DE
12.35,52.76,DE
13.89,52.09,DE
13.88,52.1,DE
14.54,51.81,DE
13.07,52.4,DE
13.07,52.4,DE
14.05,52.41,DE
12.32,52.76,DE
13.06,51.96,DE
13.83,53.32,DE
14.12,53.33,DE
13.96,53.28,DE
13.83,53.22,DE
12.35,52.76,DE
12.92,52.54,DE
