"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","kreis","bundesland","land","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y","dating_start","dating_certainty_start","dating_end","dating_certainty_end","dating_method","dating_certainty_range","dating_perio.do","dating_perio.do_match","sherd"
"Zabytek.pl","Q43301933","","499","Zelgno 12","Gmina Chełmża","pow. Toruński","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Czerniak 2007","Q139304629","unbek.","Q59496158","50","179","Übernahme aus externer Datenbank","digitale Datenbank","Fundstellen wurden in der digitalen Datenbank Zabytek gesucht und Koordinaten ausgelesen","18.7","53.2","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","37","235","Kościelna Wieś 1","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","180","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.72","52.67","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","44","67","Borucin XXXVI/03","Gmina Zakrzewo","pow. Aleksandrowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","181","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.72","52.6","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","43","66","Borucin XLIII/03","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","182","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.73","52.6","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","42","65","Borucin XL/03","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","183","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.73","52.6","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","41","64","Borucin T/06","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","184","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.74","52.59","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","36","471","Wola Skarbkowa L1/91","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","185","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.77","52.64","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","39","366","Redecz Krukowy 20","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","186","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.78","52.6","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","40","367","Redecz Krukowy XX/03","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","187","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.78","52.59","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","33","485","Zagajewice 1","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","188","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.78","52.63","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","35","486","Zagajewice A1/91","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","189","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.78","52.64","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","34","487","Zagajewice Z/06","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","190","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.79","52.64","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","38","319","Osłonki 49/91","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","191","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.79","52.61","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","32","258","Lekarzewice W/91","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","192","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.79","52.64","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","31","257","Lekarzewice 97/91","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","193","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.8","52.63","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","30","229","Konary R/91","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","194","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.8","52.63","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","27","318","Osłonki 2","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","195","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.8","52.62","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","29","226","Konary 1","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","196","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.81","52.63","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","26","316","Osłonki 1","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","Ausgrabung","Q959782","Grygiel 2008","Q139304642","unbek.","Q59496158","200","197","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.81","52.62","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","28","227","Konary 1a","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","198","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.81","52.63","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","25","317","Osłonki 1a","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","199","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.81","52.62","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","24","284","Miechowice 4a","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","200","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.82","52.63","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","22","282","Miechowice 1","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","201","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.82","52.62","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","23","283","Miechowice 4","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","202","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.82","52.63","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","21","285","Miechowice B/98","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","203","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.82","52.62","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","20","249","Kuczyna 1","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","SBK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","204","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.86","52.62","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Grygiel 2008, Karte 1","Q139304642","20","249","Kuczyna 1","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","205","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.86","52.62","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","18","473","Wolica Nowa 41/05","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","206","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.88","52.64","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","19","114","Falborz 1","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","207","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.88","52.61","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","17","472","Wolica Nowa (Polówka) 1","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","208","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.88","52.65","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","16","175","Gustorzyn 1","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","209","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.89","52.65","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","15","78","Brześć Kujawski 17","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","210","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.9","52.62","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","4","82","Brześć Kujawski 5a","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","211","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.91","52.61","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","3","81","Brześć Kujawski 5","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","SBK","","","Grygiel 2008","Q139304642","Grab","Q173387","200","212","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.92","52.61","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Grygiel 2008, Karte 1","Q139304642","3","81","Brześć Kujawski 5","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","Siedlung und Grab","Q486972","200","213","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.92","52.61","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","5","77","Brześć Kujawski 10","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","214","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.92","52.61","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","2","80","Brześć Kujawski 4","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","Ausgrabung","Q959782","Grygiel 2008","Q139304642","unbek.","Q59496158","200","215","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.92","52.61","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","1","79","Brześć Kujawski 3","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","Ausgrabung","Q959782","Grygiel 2008","Q139304642","unbek.","Q59496158","200","216","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.92","52.61","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","8","178","Guźlin 3","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","217","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.92","52.59","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","6","177","Guźlin 2","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","218","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.92","52.6","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","7","176","Guźlin 1","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","219","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.93","52.6","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","14","328","Pikutkowo 6a","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","220","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.95","52.63","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","13","327","Pikutkowo 6","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","221","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.95","52.63","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","12","329","Pikutkowo 88 (motorway)","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","222","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.97","52.62","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","11","412","Smólsk U/98","Gmina Włocławek","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","223","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.98","52.61","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","10","413","Smólsk Y/98","Gmina Włocławek","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","224","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.98","52.6","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Grygiel 2008, Karte 1","Q139304642","9","411","Smólsk 4","Gmina Włocławek","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","SBK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","225","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.98","52.6","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Grygiel 2008, Karte 1","Q139304642","9","411","Smólsk 4","Gmina Włocławek","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","","","Grygiel 2008","Q139304642","unbek.","Q59496158","200","226","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Grygiel 2008","18.98","52.6","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Czerniak","Q11753457","","248","Kruszynek 6","Włocławek","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","BKK","Ausgrabung","Q959782","Czerniak/Pyzel 2016","Q139304607","Siedlung","Q486972","3000","227","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","19","52.57","-4350","+/- 50 years","-3900","+/- 100 years","","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r7233z7","exactMatch",""
"Czerniak 2007, Karte 1","Q139304629","4","377","Równina Dolna III","Korsze","pow. Kętrzyński","Woj. Warmińsko-Mazurskie","Polen","SBK","Ausgrabung Jacek Wysocki und Małgorzata Rybicka","Q959782","Rybicka/Wysocki 2004","Q139304645","unbek.","Q59496158","50","228","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Czerniak 2007","21.23","54.19","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"von Richthofen 1930, Karte 2","Q139304635","34","390","Schmergow","Groß Kreutz (Havel)","Potsdam-Mittelmark","Brandenburg","Deutschland","SBK","","","Umbreit 1937","Q139304632","unbek.","Q59496158","2000","230","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  von Richthofen 1930","12.81","52.46","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Zabytek.pl","Q43301933","","312","Nowe Obezierze 22","Moryń","pow. Gryfiński","Woj. Lubuskie","Polen","SBK","Ausgrabung","Q959782","Czerniak et al. 2020","Q139304648","Siedlung, Kreisgrabenanlage","Q1787688","100","231","Übernahme aus externer Datenbank","digitale Datenbank","Fundstellen wurden in der digitalen Datenbank Zabytek gesucht und Koordinaten ausgelesen","14.34","52.85","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Umbreit 1937","Q139304632","8","124","Frankfurt/Oder - Ebertus Str.","Frankfurt (Oder)","Frankfurt (Oder)","Brandenburg","Deutschland","SBK","","","Umbreit 1937","Q139304632","unbek.","Q59496158","200","232","Georeferenzierung einer gedruckten Karte","Printpublikation","In der Quelle wurden Straße und Hausnummer angegeben, die in modernen digitalen Karten nachgeschlagen wurden","14.54","52.34","-4700","+/- 100 years","-4400","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r72g96p","exactMatch",""
